userID,prod_ID,rating,prod_name,imgurl
A2Y33PMFKII0VR,7532385086,5.0,Rubberized Purple Wave Flower Snap on Design Case Hard Case Skin Cover Faceplate for Sprint Htc Evo 4g,[]
A2Y33PMFKII0VR,7887421268,5.0,Black And Pink Leopard Rubberized Snap on Design Hard Case Faceplate for Sprint Htc Evo 4g,"['https://images-na.ssl-images-amazon.com/images/I/51705vyINYL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/516Q9t-BtxL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41vXI0pItFL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Jcw9-JysL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EHirgowZL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41XiAVyh3OL._SX38_SY50_CR,0,0,38,50_.jpg']"
A2FKXU13USTGK0,9985538250,1.0,Professional Retractable Car Charger for your HTC EVO 4G Phone with &quot;One-Touch&quot; button system,"['https://images-na.ssl-images-amazon.com/images/I/31qlJphlfJL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41-sAY3VOWL._SX38_SY50_CR,0,0,38,50_.jpg']"
A11I1I9QLMAM1A,B00000J3Q2,3.0,PalmOne V Leather Belt Clip Case,[]
A3NHUQ33CFH3VM,B00004VX9R,4.0,PalmOne V Hard Case Special Edition (Metallic Blue),[]
A149RNR5RH19YY,B000063CCT,4.0,Motorola USB Data Kit for Motorola V Series and Timeport Series Phones,[]
AVPNQUVZWMDSX,B00006Z95D,1.0,Jabra FreeSpeak Bluetooth Headset for Bluetooth Equipped Phones,"['https://images-na.ssl-images-amazon.com/images/I/41SX338WT9L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41C187GNKSL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DK7SE8EWL._SX38_SY50_CR,0,0,38,50_.jpg']"
A5JLAU2ARJ0BO,B00008O39I,2.0,Virgin Mobile $50 Top-Up Card,[]
A5JLAU2ARJ0BO,B00009PGN0,5.0,Motorola Model T722i Flip Phone,"['https://images-na.ssl-images-amazon.com/images/I/419G7VC3FWL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31NY4MQRR2L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41JZWM8D28L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31XRVNE90PL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517YS3TMD7L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/512AGFR9YGL._SX38_SY50_CR,0,0,38,50_.jpg']"
A149RNR5RH19YY,B00009PGN0,1.0,Motorola Model T722i Flip Phone,"['https://images-na.ssl-images-amazon.com/images/I/419G7VC3FWL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31NY4MQRR2L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41JZWM8D28L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31XRVNE90PL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517YS3TMD7L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/512AGFR9YGL._SX38_SY50_CR,0,0,38,50_.jpg']"
A2BYV7S1QP2YIG,B00009WCAP,2.0,Cellular Innovations A-BOOSTER Universal Cell Phone Antenna Booster,[]
A5JLAU2ARJ0BO,B0000E3GWH,1.0,Samsung SGH E715 - Titanium blue (T-Mobile) Cellular Phone,"['https://images-na.ssl-images-amazon.com/images/I/31HAE14Z11L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41HV0MFWG3L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416VGT1ND6L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51AJ1PXW77L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5163ASEE1AL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/5137NSSWJYL._SX38_SY50_CR,0,0,38,50_.jpg']"
A5JLAU2ARJ0BO,B0000SX3BK,5.0,Motorola i730 Phone (Nextel),"['https://images-na.ssl-images-amazon.com/images/I/41RK95CXENL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31NBQ0TSBBL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51B3QAEZTSL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51EATY8AQPL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51XSA3ZMQ4L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SJ8CPJZ7L._SX38_SY50_CR,0,0,38,50_.jpg']"
A5JLAU2ARJ0BO,B00023DRVO,5.0,PCS Vision Picture Phone Sanyo PM-8200 Silver (Sprint),"['https://images-na.ssl-images-amazon.com/images/I/41NKK0R25PL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41A6RR92VML._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41G923X41NL._SX38_SY50_CR,0,0,38,50_.jpg']"
