userID,prod_ID,rating,prod_name,imgurl
A1M2T0J45TTE64,B00004S9I0,5.0,Lodge Original Finish Pro Grid/Iron Griddle,['https://images-na.ssl-images-amazon.com/images/I/41KTD3MFQ2L._SS40_.jpg']
AGGAQLXPVGM5D,B00004U9J9,5.0,"SOG Pentagon Elite I Folding Knife PE14-CP - Bead Blasted 4&quot; VG-10 Blade, GRN Handle, Arc-Lock","['https://images-na.ssl-images-amazon.com/images/I/4193xjgsxXL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31DX%2BdWnLPL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51AQwGCwxML._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oZOhr6fEL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41zOa4O08DL._SS40_.jpg']"
AK7CAW3N1XZV6,B0000534W2,5.0,"TheraBand Exercise Ball, Stability Ball with 65 cm Diameter for Athletes 5'7&quot; to 6'1&quot; Tall, Standard Fitness Ball for Posture, Balance, Yoga, Pilates, Core, Rehab, Green","['https://images-na.ssl-images-amazon.com/images/I/51EUOSyBvSL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41oZBkhseeL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410HJvI0mYL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41D15kgqRNL._SS36_.jpg']"
AGGAQLXPVGM5D,B00005AXIY,5.0,Bushnell Yardage Pro Scout Laser Rangefinder,"['https://images-na.ssl-images-amazon.com/images/I/510BGNEVE9L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BSG08767L._SS40_.jpg']"
A22CW0ZHY3NJH8,B00005BV0D,5.0,Liberty Mountain Aerobie Sprint,"['https://images-na.ssl-images-amazon.com/images/I/41flsJkmkdL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/515RPOa50SL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61CKuYUxblL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51lAJzr6-nL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ZQ9U9CYWL._SS40_.jpg']"
A435RZ8GG6XEY,B00005BXUU,5.0,Bell Night Trail Bicycle Light Set,[]
A3IGUYDJW3AAJR,B000068CJZ,3.0,PTI Schwinn 12 Function Computer (Colors May Vary),['https://images-na.ssl-images-amazon.com/images/I/41-fyO9FdpL._SS40_.jpg']
AJGU56YG8G1DQ,B0000789T2,5.0,"Aerobie Pro Ring, Colors May Vary","['https://images-na.ssl-images-amazon.com/images/I/414Wv4R4JwL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Bqczqp5xL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KT77gadVL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51kBl8NyROL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41qo%2BnSMq4L._SS40_.jpg']"
A259MPG6SOL02P,B0000789T2,4.0,"Aerobie Pro Ring, Colors May Vary","['https://images-na.ssl-images-amazon.com/images/I/414Wv4R4JwL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Bqczqp5xL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41KT77gadVL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51kBl8NyROL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41qo%2BnSMq4L._SS40_.jpg']"
ADF7Z7QMFUL7K,B00007E1M2,3.0,"SOG Fixed Blade Knives - &ldquo;SEAL Pup&rdquo; Tactical Knife, Survival Knife and Hunting Knife w/ 4.75&rdquo; Blade and MOLLE Knife Sheath + GRN Grip (M37N-CP)","['https://images-na.ssl-images-amazon.com/images/I/416OA2EKsXL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41hFY0-RrdL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/418HVHa6qVL._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41jueufEu6L._SS40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51I8kH3FQ2L._SS40_.jpg']"
